Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,date_folder,start,end,spot,confidence,annotationid,title,uri,label,categories,types,alternateLabels,place,person,spot_match
1.0,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Hr. Blumer von Glarus.,1.0,4648731.txt,1780-07,44.0,50.0,Blumer,0.7087,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
2.0,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Profeffor Steinsky aus Prag.,2.0,4648731.txt,1780-07,73.0,81.0,Steinsky,0.6821,6644776.0,Ulrike Steinsky,http://de.wikipedia.org/wiki/Ulrike_Steinsky,Ulrike Steinsky,"['Ensemblemitglied der Wiener Staatsoper', 'Frau', 'Geboren 1960', 'Gesangspädagoge', 'Opernsänger', 'Sopran', 'Österreicher', 'Österreichischer Kammersänger']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Ulrike Steinsky'],0.0,1.0,1.0
17.0,28 Julii 1780,1780-07-28,ADLER,3.0,Bernold Marich D'auvergne f. 2.,17.0,4648731.txt,1780-07,490.0,496.0,Marich,0.6862,3274729.0,Ladislaus von Szögyény-Marich,http://de.wikipedia.org/wiki/Ladislaus_von_Sz%C3%B6gy%C3%A9ny-Marich,Ladislaus von Szögyény-Marich,"['Beamter (Kaisertum Österreich)', 'Beamter (Transleithanien)', 'Botschafter (Österreich-Ungarn)', 'Geboren 1841', 'Gestorben 1916', 'Mann', 'Reichstagsabgeordneter (Ungarn)', 'Ritter des Ordens vom Goldenen Vlies (Österreich, 19. Jahrhundert)', 'Ritter des Schwarzen Adlerordens', 'Österreichischer Botschafter im Deutschen Reich']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Ladislaus von Szögyény-Marich', 'Szögyény']",0.0,1.0,1.0
34.0,28 Julii 1780,1780-07-28,ROESSLI,8.0,Franz Kurtz von Landeeg.,34.0,4648731.txt,1780-07,1052.0,1063.0,Franz Kurtz,0.8609,1905220.0,Franz Kurtz,http://de.wikipedia.org/wiki/Franz_Kurtz,Franz Kurtz,"['Deutscher', 'Erfinder', 'Geboren 1825', 'Gestorben 1902', 'Mann', 'Person (Inden, Rheinland)', 'Person (Jülich)', 'Person (Radverkehr)']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Franz Kurtz'],0.0,1.0,1.0
39.0,30 Julii 1780,1780-07-30,SCHWERDT,1.0,Hr. Blumer von Glarus.,39.0,4648733.txt,1780-07,100.0,106.0,Blumer,0.7087,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
40.0,30 Julii 1780,1780-07-30,SCHWERDT,1.0,Profeffor Steinsky aus Prag.,40.0,4648733.txt,1780-07,129.0,137.0,Steinsky,0.6821,6644776.0,Ulrike Steinsky,http://de.wikipedia.org/wiki/Ulrike_Steinsky,Ulrike Steinsky,"['Ensemblemitglied der Wiener Staatsoper', 'Frau', 'Geboren 1960', 'Gesangspädagoge', 'Opernsänger', 'Sopran', 'Österreicher', 'Österreichischer Kammersänger']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Ulrike Steinsky'],0.0,1.0,1.0
48.0,30 Julii 1780,1780-07-30,SCHWERDT,1.0,"Pfr. Falkeisen, nebft Frau und Sohn.",48.0,4648733.txt,1780-07,343.0,352.0,Falkeisen,0.8096,4810707.0,Hieronymus Falkeisen,http://de.wikipedia.org/wiki/Hieronymus_Falkeisen,Hieronymus Falkeisen,"['Antistes (Basel)', 'Geboren 1758', 'Gestorben 1838', 'Mann', 'Reformierter Theologe (18. Jahrhundert)', 'Reformierter Theologe (19. Jahrhundert)', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Hieronymus Falkeisen'],0.0,1.0,1.0
49.0,30 Julii 1780,1780-07-30,SCHWERDT,1.0,"Profeffor Stähelin, fämmtlich von Basel.",49.0,4648733.txt,1780-07,385.0,393.0,Stähelin,0.7479,6950701.0,Felix Staehelin,http://de.wikipedia.org/wiki/Felix_Staehelin,Felix Staehelin,"['Althistoriker', 'Geboren 1873', 'Gestorben 1952', 'Hochschullehrer (Universität Basel)', 'Mann', 'Mitglied der Akademie der Wissenschaften der DDR', 'Mitglied der Preußischen Akademie der Wissenschaften', 'Sachbuchautor', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Felix Staehelin', 'Felix Stähelin']",0.0,1.0,1.0
50.0,30 Julii 1780,1780-07-30,SCHWERDT,1.0,Schuch von Saarbrücken.,50.0,4648733.txt,1780-07,416.0,422.0,Schuch,0.6465,966412.0,Carl Schuch,http://de.wikipedia.org/wiki/Carl_Schuch,Carl Schuch,"['Chiemseemaler', 'Geboren 1846', 'Gestorben 1903', 'Maler (Österreich)', 'Mann', 'Person (Österreich-Ungarn)', 'Stilllebenmaler']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Carl Schuch'],0.0,1.0,1.0
69.0,31 Julii 1780,1780-07-31,SCHWERDT,1.0,Hr. Blumer von Glarus.,69.0,4648735.txt,1780-07,98.0,104.0,Blumer,0.7087,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
70.0,31 Julii 1780,1780-07-31,SCHWERDT,1.0,Profeffor Steinsky aus Prag.,70.0,4648735.txt,1780-07,127.0,135.0,Steinsky,0.6963,6644776.0,Ulrike Steinsky,http://de.wikipedia.org/wiki/Ulrike_Steinsky,Ulrike Steinsky,"['Ensemblemitglied der Wiener Staatsoper', 'Frau', 'Geboren 1960', 'Gesangspädagoge', 'Opernsänger', 'Sopran', 'Österreicher', 'Österreichischer Kammersänger']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Ulrike Steinsky'],0.0,1.0,1.0
