Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,date_folder,start,end,spot,confidence,annotationid,title,uri,label,categories,types,alternateLabels,place,spot_match
1,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Hr. Blumer von Glarus.,1.0,4648731.txt,1780-07,55.0,61.0,Glarus,0.7954,1913.0,Glarus,http://de.wikipedia.org/wiki/Glarus,Glarus,"['Ersterwähnung im 8. Jahrhundert', 'Glarus', 'Hauptort eines Kantons (Schweiz)', 'Ort im Kanton Glarus', 'Ortsbild von nationaler Bedeutung im Kanton Glarus', 'Schweizer Gemeinde']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Glarus', 'Glarner']",1.0,1.0
2,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Profeffor Steinsky aus Prag.,2.0,4648731.txt,1780-07,86.0,90.0,Prag,0.8052,8815.0,Prag,http://de.wikipedia.org/wiki/Prag,Prag,"['Ersterwähnung im 10. Jahrhundert', 'Gemeinde in Tschechien', 'Gemeindegründung 1784', 'Hauptstadt in Europa', 'Hauptstadt in der EU', 'Kraj in Tschechien', 'Millionenstadt', 'Ort in Tschechien', 'Prag', 'Stadt als Namensgeber für einen Asteroiden', 'Statutarstadt (Tschechien)', 'Städtisches Denkmalreservat in Tschechien', 'Tschechische Hochschul- oder Universitätsstadt']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Prag', 'Praha', 'Prager', 'Prag-Smichov', 'Hlavní město Praha']",1.0,1.0
3,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Meifsner von Görlitz in Sachfen f. 3.,3.0,4648731.txt,1780-07,105.0,112.0,Görlitz,0.7664,16976.0,Görlitz,http://de.wikipedia.org/wiki/G%C3%B6rlitz,Görlitz,"['Deutscher Ortsname slawischer Herkunft', 'Ehemalige kreisfreie Stadt in Sachsen', 'Ersterwähnung 1071', 'Große Kreisstadt in Sachsen', 'Kreisstadt in Sachsen', 'Ort an der Lausitzer Neiße', 'Ort im Landkreis Görlitz', 'Ort in der Oberlausitz']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Görlitz', 'Altstadtmillion', 'Görlitzer', 'Stadt-']",1.0,1.0
4,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Mr. Carlis de Modena.,4.0,4648731.txt,1780-07,144.0,150.0,Modena,0.8295,59128.0,Modena,http://de.wikipedia.org/wiki/Modena,Modena,"['Ehemalige Hauptstadt (Emilia-Romagna)', 'Etruskische Stadt', 'Hochschul- oder Universitätsstadt in Italien', 'Modena', 'Ort in der Provinz Modena', 'Provinzhauptstadt in Italien', 'Träger der Tapferkeitsmedaille in Gold (Italien)', 'Weinbauort in Italien']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Modena', 'Mutina', 'Modeneser', 'Muden']",1.0,1.0
5,28 Julii 1780,1780-07-28,SCHWERDT,1.0,le Grand de Belfort.,5.0,4648731.txt,1780-07,164.0,171.0,Belfort,0.8299,171760.0,Belfort,http://de.wikipedia.org/wiki/Belfort,Belfort,"['Belfort', 'Ersterwähnung 1226', 'Mitglied der Ehrenlegion (Stadt)', 'Ort in Bourgogne-Franche-Comté', 'Präfektur in Frankreich', 'Stadt in Frankreich', 'Träger des Croix de guerre 1914–1918 (Ort in Frankreich)']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Belfort'],1.0,1.0
7,28 Julii 1780,1780-07-28,SCHWERDT,1.0,"de Vermenoux, de Paris f. 3.",7.0,4648731.txt,1780-07,213.0,218.0,Paris,0.7745,11446.0,Paris,http://de.wikipedia.org/wiki/Paris,Paris,"['Französisches Département', 'Hauptstadt einer französischen Region', 'Hauptstadt in Europa', 'Hauptstadt in der EU', 'Hochschul- oder Universitätsstadt in Frankreich', 'Millionenstadt', 'Mitglied der Ehrenlegion (Stadt)', 'Namensgeber für ein chemisches Element', 'Ort an der Seine', 'Ort in der Île-de-France', 'Ortsname keltischer Herkunft', 'Paris', 'Präfektur in Frankreich', 'Träger des Croix de guerre 1914–1918 (Ort in Frankreich)', 'Träger des Ordre de la Libération']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Paris', 'Pariser', 'Hauptstadt', 'Département Paris', 'Hauptstadtklub']",1.0,1.0
8,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Cislago di Verona.,8.0,4648731.txt,1780-07,225.0,232.0,Cislago,0.8656,6579316.0,Cislago,http://de.wikipedia.org/wiki/Cislago,Cislago,['Ort in der Lombardei'],"['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Cislago'],1.0,1.0
9,28 Julii 1780,1780-07-28,SCHWERDT,1.0,"Arnaud, Mr.-Dury de Turin.",9.0,4648731.txt,1780-07,264.0,269.0,Turin,0.8198,19282.0,Turin,http://de.wikipedia.org/wiki/Turin,Turin,"['Ehemalige Hauptstadt (Piemont)', 'Ehemaliger Welterbekandidat in Europa', 'Ehemaliger Welterbekandidat in Italien', 'Hauptstadt in Italien', 'Hochschul- oder Universitätsstadt in Italien', 'Ort am Po (Fluss)', 'Ort im Piemont', 'Provinzhauptstadt in Italien', 'Stadt als Namensgeber für einen Asteroiden', 'Träger der Tapferkeitsmedaille in Gold (Italien)', 'Träger des Europapreises', 'Turin']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Turin', 'Torino', 'Augusta Taurinorum', 'Turiner']",1.0,1.0
11,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Anfelme de Lyon.,11.0,4648731.txt,1780-07,323.0,327.0,Lyon,0.7966,13964.0,Lyon,http://de.wikipedia.org/wiki/Lyon,Lyon,"['Hauptstadt einer französischen Region', 'Hochschul- oder Universitätsstadt in Frankreich', 'Lyon', 'Mitglied der Ehrenlegion (Stadt)', 'Ort an der Rhone', 'Ort an der Saône', 'Ort in Auvergne-Rhône-Alpes', 'Präfektur in Frankreich', 'Stadt als Namensgeber für einen Asteroiden', 'Stadt in Frankreich', 'Welterbestätte in Europa', 'Welterbestätte in Frankreich', 'Weltkulturerbestätte']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Lyon', 'Lugdunum', 'Lugudunum', 'Lyon-Mouche', 'Lyoner']",1.0,1.0
13,28 Julii 1780,1780-07-28,STORCHEN,2.0,Hr. Kühnhold von Nürnberg.,13.0,4648731.txt,1780-07,385.0,393.0,Nürnberg,0.7688,3574.0,Nürnberg,http://de.wikipedia.org/wiki/N%C3%BCrnberg,Nürnberg,"['Ehemalige Kreisstadt in Bayern', 'Ehemaliger Residenzort in Bayern', 'Ersterwähnung 1050', 'Gemeinde in Bayern', 'Kreisfreie Stadt in Bayern', 'Nürnberg', 'Ort an der Pegnitz', 'Ort mit Binnenhafen', 'Reichsstadt in Bayern', 'Stadt als Namensgeber für einen Asteroiden', 'Träger des Europapreises']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Nürnberg', 'Stadt Nürnberg', 'Nürnberger', 'Noris', 'Nymphe Noris']",1.0,1.0
