Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,Names,Hits
1,28 Julii 1780,1780-07-28,SCHWERDT,1,Hr. Blumer von Glarus. Profeffor Steinsky aus Prag. Meissner von Görlitz in Sachsen f. 3. Mr. Carlis de Modena. le Grand de Belfort. Rebattu de Versailles. de Vermenoux,1,0002.txt,"Hr. Blumer von Glarus, Profeffor Steinsky aus Prag, Meissner von Görlitz in Sachsen, Mr. Carlis de Modena, le Grand de Belfort, Rebattu de Versailles, de Vermenoux",". Blumer  (https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blume_(Remscheid) https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers), Meissner  (https://de.wikipedia.org/wiki/Meissner https://de.wikipedia.org/wiki/Meissener_Porzellan https://de.wikipedia.org/wiki/Mei%C3%9Fner_Dom https://de.wikipedia.org/wiki/Mei%C3%9Fner_und_Mei%C3%9Fner_Vorland https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Gemeinde) https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Familienname) https://de.wikipedia.org/wiki/Mei%C3%9Fner_Fummel https://de.wikipedia.org/wiki/Mei%C3%9Fner_Schwein https://de.wikipedia.org/wiki/Mei%C3%9Fner-Ochsenfeld-Effekt https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Adelsgeschlechter))"
2,28 Julii 1780,1780-07-28,SCHWERDT,1,de Paris f. 3. Cislago di Verona. Arnaud,2,0002.txt,"de Paris. Cislago di Verona, Arnaud",Arnaud (https://de.wikipedia.org/wiki/Arnaud https://de.wikipedia.org/wiki/Arnaud_Montebourg https://de.wikipedia.org/wiki/Arnaud_Cl%C3%A9ment https://de.wikipedia.org/wiki/Arnaud_Kalimuendo https://de.wikipedia.org/wiki/Arnaud_Beltrame https://de.wikipedia.org/wiki/Arnaud_Boetsch https://de.wikipedia.org/wiki/Arnaud_Rykner https://de.wikipedia.org/wiki/Arnaud_Lagard%C3%A8re https://de.wikipedia.org/wiki/Arnaud_Viard https://de.wikipedia.org/wiki/Arnaud_Valois)
3,28 Julii 1780,1780-07-28,SCHWERDT,1,Mr. Dury de Turin. Berteaud,3,0002.txt,"Mr. Dury de Turin, Berteaud",Berteaud (https://de.wikipedia.org/wiki/Berteaucourt-l%C3%A8s-Thennes https://de.wikipedia.org/wiki/Berteaucourt-les-Dames https://de.wikipedia.org/wiki/Bertaud https://de.wikipedia.org/wiki/Berteaut https://de.wikipedia.org/wiki/Bertaud_Du_Chazaud https://de.wikipedia.org/wiki/Berteau https://de.wikipedia.org/wiki/Berthaud https://de.wikipedia.org/wiki/Bergeaud https://de.wikipedia.org/wiki/Berteaucourt)
4,28 Julii 1780,1780-07-28,SCHWERDT,1,Mr. Simon de Chalon sur Sonne. Anselme de Lyon.,4,0002.txt,"Mr. Simon de Chalon sur Sonne, Anselme de Lyon",
5,28 Julii 1780,1780-07-28,STORCHEN,2,Mr. Predarii de Milan,5,0002.txt,Mr. Predarii de Milan,
6,28 Julii 1780,1780-07-28,STORCHEN,2,f. 2. Hr. Kühnhold von Nürnberg. Ein Glashändler aus dem Schwarzwald. 1 Handw.,6,0002.txt,"f, Hr. Kühnhold von Nürnberg","f (https://de.wikipedia.org/wiki/F https://de.wikipedia.org/wiki/Frankreich https://de.wikipedia.org/wiki/Figuren_der_Harry-Potter-Romane https://de.wikipedia.org/wiki/File_Allocation_Table https://de.wikipedia.org/wiki/Figuren_in_Tolkiens_Welt https://de.wikipedia.org/wiki/Fu%C3%9Fball https://de.wikipedia.org/wiki/Frankfurt_am_Main https://de.wikipedia.org/wiki/Finnland https://de.wikipedia.org/wiki/Faschismus https://de.wikipedia.org/wiki/Figuren_aus_Star_Wars), . Kühnhold  (https://de.wikipedia.org/wiki/K%C3%BChnhold https://de.wikipedia.org/wiki/Kuhn_Holding https://de.wikipedia.org/wiki/K%C3%BChnholz)"
7,28 Julii 1780,1780-07-28,ADLER,3,Jgfr. Schweizerin von St. Gallen. Bernold Marsch D'auvergne f. 2. Fr. Posterin von Schaffhausen.,7,0002.txt,"Jgfr. Schweizerin von St, Gallen. Bernold Marsch D'auvergne, Fr. Posterin von Schaffhausen",. Posterin  (https://de.wikipedia.org/wiki/Posterino https://de.wikipedia.org/wiki/POS-Terminal https://de.wikipedia.org/wiki/Posteriores_reversibles_Enzephalopathie-Syndrom https://de.wikipedia.org/wiki/Posterisation https://de.wikipedia.org/wiki/Posterior-Fossa-Syndrom https://de.wikipedia.org/wiki/Posteriore_amorphe_Hornhautdystrophie https://de.wikipedia.org/wiki/Posterior_predictive_distribution https://de.wikipedia.org/wiki/Posterior https://de.wikipedia.org/wiki/Posterisan https://de.wikipedia.org/wiki/Port_Erin)
8,28 Julii 1780,1780-07-28,HIRSCHEN,4,Hr. Martin Erhardt von Mühlhausen. Leonhard Fornaro von Langensee. Ein Bedienter von Hrn. Baron v. Uskiel von Stuttgardt.,8,0002.txt,"Hr. Martin Erhardt von Mühlhausen, Leonhard Fornaro von Langensee, Baron von Uskiel von Stuttgardt",". Martin Erhardt  (https://de.wikipedia.org/wiki/Martin_Erhard_(Eishockeyschiedsrichter) https://de.wikipedia.org/wiki/Martin_Gerhardt https://de.wikipedia.org/wiki/Martin_Erhard_(Gewerkschafter) https://de.wikipedia.org/wiki/Martin_Erhard_(Kirchenmusiker) https://de.wikipedia.org/wiki/Martin_Erhard), Baron  (https://de.wikipedia.org/wiki/Baron https://de.wikipedia.org/wiki/Baron_Corbin https://de.wikipedia.org/wiki/Baronet https://de.wikipedia.org/wiki/Baron_Noir https://de.wikipedia.org/wiki/Baron_1898 https://de.wikipedia.org/wiki/Baron_Gautsch https://de.wikipedia.org/wiki/Baroness https://de.wikipedia.org/wiki/Baron_(Familienname) https://de.wikipedia.org/wiki/Baron_Gottfried_Schmiedel https://de.wikipedia.org/wiki/Baron_Hill)"
9,28 Julii 1780,1780-07-28,RAABEN,5,Jgfr. Elisabetha Rieggi von Eichenbach f. 2. Anna Maria Kleinlin von Welen f. 2. Salama Strikler von Glarus f. 2. Marianne Meimnoud von Landau. Hr. Carl Horret von Toggen- Arnold Holsteln von Neuburg- LEUEN- 1 Handwerker- ROESSLI Hr. Schneeli von Glarus. Franz Kurtz von Landeeg- 2 St Galler Fuhrleuth-,9,0002.txt,UNABLE TO PARSE,
10,28 Julii 1780,1780-07-28,SCHWANEN,6,1 Landmann-,10,0002.txt,UNABLE TO PARSE,
11,30 Julii 1780,1780-07-30,SCHWERDT,1,Mr. Carlis de Modena. le Grand de Belfort. Hr. Blumer von Glarus. Profesor Steinsky aus Prag. de Vermenoux,11,0004.txt,"Mr. Carlis de Modena, le Grand de Belfort, Hr. Blumer von Glarus, Profesor Steinsky aus Prag, de Vermenoux",. Blumer  (https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blume_(Remscheid) https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers)
12,30 Julii 1780,1780-07-30,SCHWERDT,1,de Paris f. 3. Arnaud,12,0004.txt,de Paris. Arnaud,
13,30 Julii 1780,1780-07-30,SCHWERDT,1,de Turin. Meifsner von Görlitz in Sachfen f. 3. Geelwin von Amfterdam f. 4. Rathsherr Faefch. Hr. Faefch. Obrift Eglinger. Pfr. Eglinger und Frau u. Sohn. Pfr. Falkeifen,13,0004.txt,UNABLE TO PARSE,
14,30 Julii 1780,1780-07-30,SCHWERDT,1,nebft Frau und Sohn. Profefor Stähelin,14,0004.txt,UNABLE TO PARSE,
15,30 Julii 1780,1780-07-30,SCHWERDT,1,Bürlich von Bafel. Schuch von Saarbrücken. Ehrengesandte von Glarus.,15,0004.txt,"Bürlich von Bafel. Schuch von Saarbrücken, Ehrengesandte von Glarus",Bürlich  (https://de.wikipedia.org/wiki/Berlichingen_(Adelsgeschlecht) https://de.wikipedia.org/wiki/B%C3%BCdlich https://de.wikipedia.org/wiki/Berlichingen https://de.wikipedia.org/wiki/B%C3%BCdlicherbr%C3%BCck https://de.wikipedia.org/wiki/Berlichius https://de.wikipedia.org/wiki/Berlichingen_(Begriffskl%C3%A4rung) https://de.wikipedia.org/wiki/Das_B%C3%BCrle_im_Himmel https://de.wikipedia.org/wiki/Berlich)
16,30 Julii 1780,1780-07-30,STORCHEN,2,Mr. Predarii de Milan,16,0004.txt,Mr. Predarii de Milan,
17,30 Julii 1780,1780-07-30,STORCHEN,2,f. 2. Veit Schmid von Büblifon. 1 Handw.,17,0004.txt,f. Veit Schmid von Büblifon,
18,30 Julii 1780,1780-07-30,ADLER,3,Jgfr. Schweizerin von St. Gallen. Bernard Martich D'auvergne f. 2. Mr. Auberin de Luneville.,18,0004.txt,"Jgfr. Schweizerin von St, Gallen. Bernard Martich D'auvergne, Mr. Auberin de Luneville",
19,30 Julii 1780,1780-07-30,HIRSCHEN,4,Hr. Martin Erhardt von Mühlhaufen. Leonhard Fornaro von Langenfee.,19,0004.txt,"Hr. Martin Erhardt von Mühlhaufen, Leonhard Fornaro von Langenfee",. Martin Erhardt  (https://de.wikipedia.org/wiki/Martin_Erhard_(Eishockeyschiedsrichter) https://de.wikipedia.org/wiki/Martin_Gerhardt https://de.wikipedia.org/wiki/Martin_Erhard_(Gewerkschafter) https://de.wikipedia.org/wiki/Martin_Erhard_(Kirchenmusiker) https://de.wikipedia.org/wiki/Martin_Erhard)
20,30 Julii 1780,1780-07-30,RAABEN,5,Hr. Major Tfchudy von Glarus. 2 Landl. LEUEN- 2 Landl,20,0004.txt,UNABLE TO PARSE,
21,30 Julii 1780,1780-07-30,RAABEN,5,3 Handwerker.,21,0004.txt,,
22,30 Julii 1780,1780-07-30,ROESSLI,7,6 Landleut.,22,0004.txt,,
23,31 Julii 1780,1780-07-31,SCHWERDT,1,Mr. Carlis de Modena. le Grand de Belfort. Hr. Blumer von Glarus. Professor Steinsky aus Prag. de Vermenoux,23,0006.txt,"Mr. Carlis de Modena, le Grand de Belfort, Hr. Blumer von Glarus, Professor Steinsky aus Prag, de Vermenoux",. Blumer  (https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blume_(Remscheid) https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers)
24,31 Julii 1780,1780-07-31,SCHWERDT,1,de Paris f. 3. Meissner von Görlitz in Sachsen f. 3. Pr. Eglinger und Frau aus Sohm. Pfr. Falkeisen,24,0006.txt,UNABLE TO PARSE,
25,31 Julii 1780,1780-07-31,SCHWERDT,1,nebst Frau und Sohn,25,0006.txt,UNABLE TO PARSE,
