Visitor,Occurrences
3 landl 1 handw,189
2 landl,86
leonhard fornaro von langnfee,76
1 handw,56
hr michael kern von bamberg f 3 muff,52
hr mich winckler v schlettingen f 3,40
gilbert de metz,38
hr mich winckler v schleitingen f 3,37
hr brix aus böhmen,36
marmier de geneve,31
brix aus böhmen f 2,29
3 landl,29
hr blumer von glarus,28
3 handw,27
mr chriſtoff caſſi di bergamo f 4,26
1 frankfuhter fuhrmann f 3,26
mr christoff cassi di bergamo f 4,25
carlis de modena,22
2 leipziger fuhrleuth,21
hurter von schaffhausen,20
4 landl,20
6 landl,19
5 landl,19
ein landmann,18
mr fornaro von langensee f 2,17
riedel von iserlohn,16
4 handw,16
1 holländiſcher sergent  8 recruten,15
hr gottfried martin aus böhmen f 2,15
mr barade dauvergne,15
redelmayer hr real von regenfpurg,14
hr benjamin wolff von mannheim f 2,14
sulzer von winterthur,14
7 landl,13
johann stampfer aus tyrol f 3,13
hegner von wintcrthur,13
kühnhold von nürnberg,13
jgfr schweizerin von st gallen,13
dominico pitzala de mylan f 5,13
ulrich wildj v schaffisheim,13
mr jain hr develay de geneve,12
hr berchtold aus tyrol f 2,12
mr cottinj de lombard f 3,12
hr helbling portraitmahler v wien,12
le grand de belford,11
2 landl 2 handw,11
de vermenoux de paris,11
hr martin glashändler aus böhmen f 2,11
cath monge de savoye f 4,11
gwinner von venedig,11
hr augustin steiner aus tyrol,10
jacob nast von heilbrunn f 3,10
pitzala de milan,9
8 landl,9
jgfr gutin von baaden,9
1 handw 1 landm,9
3 brisgäuer tuchhändler,9
vogt hagin von kirchen,9
mr francois monde de nancy f 3,8
françoise dolet de belfort f 2,8
wartmann de morges,8
mr desouslecret de lyon,8
9 landl,8
2 handw 2 landl,8
dürr von strafsburg,8
joh steiger von oberglatt,8
meifner von görlitz in sachfen f 3,8
spengeler von schaffhausen,8
franz wenk von lachen,8
jacob meyer von baltenschweil,8
hr anton stahl von nürnberg,8
mr andré caffati f mr dom pitzala de milan,8
hr brix aus böhmen f 2,8
kraufs virtuos von ulm,8
predari de mylan,8
8 schwab 2 handw,8
4 handw    2 landl    12 schwaben,8
mathieu de marseille,7
2 flaweiler fuhrleuth,7
pierre christian de barcelonette f 2,7
richter burlet von richenburg,7
2 landl 3 handw,7
brix aus böhmen,7
sandtner aus tyrol,7
4 leipziger fuhrleuth,7
mr la pierre d auvergne f 2,7
melchior herner von aelen,7
mr morell de savoye,7
sekelmeifter mayer von arbon,7
carl horret v toggen,7
1 basler fuhrmann,7
predari de milan,7
hugard und sohn von strasburg,7
jac ruthishauser von gütingen,7
2 schwaben,7
5 handw,6
mr jean barade dauvergne f 2,6
beyde von arbon,6
mr pitzala de milan f 2 brix aus böhmen f 2,6
hr guion von bruchsal,6
frau folterin von schaffhausen f 2,6
hr schäffer aus böhmen,6
gebrüder levi von hohenembs f 3,6
gürtler von basel,6
mr christoff casse di bergamo f 4,6
jean billa di bergamo f 2,6
hr akermann von hentſchikon,6
doctor gruber von gaifs f 2,6
le fort de freyburg,6
hoguer de versailles,6
hr schindler von glarus,6
hr meyer von efslingen,6
schindler von basel,6
mr faßanno de lombard f 3,6
jud meyer moos von hohenembs f 2,6
blumer von glarus,6
mr hall mr jacob mr brand chev anglois,6
hr joh schmid von hitzkirch,6
bodmer von wülflingen,6
baron von haller fämtliche von nürnberg,6
pierre concordan de barcelonette f 2,5
hr sekelmeifter mayer hr rathsherr roschach,5
ein flaweiler fuhrmann,5
noel corbassier de savoye,5
3 handw 2 landl,5
mr hanhardt de geneve,5
guillebert mr meuron de neuchatel,5
redelmayer hr real von regensburg,5
1 handw 2 landl,5
jacob ruchishauser von güttingen,5
saxer von arau,5
jacob weber von schaffhausen,5
jacob ruthishauser von güttingen,5
mr fassanno de mylan f 3,5
mr salvador pizzala de milan,5
hr joh merz von kaysersheim f 9,5
hr haubtmann funk von bern,5
mr barade dauvergne f 4,5
fürsprech widmer von sarnentorff f 3,5
hr kreich v tübingen musicus,5
noel corbaffier de savoye,5
joh hitz von chur,5
dominico pitzala de mylan,5
hr joh schmid von hizkirch,5
hr adam heff von heigeloh,5
jacob lieb von bischoffzell,5
doctor körner aus sachsen,5
mr salvador pizzala de milan f 4,5
madm garnier de paris,5
4 landleuth,5
mr pitzala de milan f 2,5
jkr perinj aus bündten,4
jgfr anna maria meyer von lucern,4
1 holländischer recrut,4
ziegler von winterthur,4
antoine faffanne di lucarno,4
baron von holzfchuher,4
ein frankfurter fuhrmann,4
2 herren ehrengesandte von bern,4
jos carl gottlieb von st gallen,4
jkr fenner von mülinen jkr landvogt tscharner,4
sekelmeister mayer von arbon,4
hr schäfer aus böhmen,4
germann beyde von rheinau f 4,4
schuch von saarbrücken,4
freyhoffer von kirchberg,4
1 französischer recroüt,4
jacob fried baltas von biesisheim f 3 musq,4
mr jean barade dauvergne f 3,4
hr firz von tägerfelder f 2,4
probt von bielf f 2,4
schlumberger von müllhausen,4
simon gros de savoye,4
1 landl,4
mufti de turin,4
mr beaud de savoye f 2,4
steger von lichtensteg,4
jacob tömelj von basel,4
hr pater kornherr wandermer hr secretarius,4
ehrismann von büel f 2,4
ein postillion von waldshut,4
trümpj von glarus,4
doctor seeger von tubingen,4
jacob pfund von unterhallau,4
vogtmann von lenzburg,4
mr schmidt de chaigny,4
2 pilger,4
hr joh merz von kayfersheim f 9,4
jacob steiner von donaueschingen,4
jean magnut dauvergne,4
schmid von costanz,4
2 frankfurth fuhrleuth 4 landl,4
heisig musicus aus schlesien f 2,4
veronica frankin aus tyrol f 3,4
gebrüdere levj von hohenembs f 4,4
händel von bozen f 2,4
mr esmenjaud de moulins f 2,4
baron krefs baron von holzschuher,4
rizi di chiavenna f 2,4
mathis hr iselin von basel,4
burkart von richtenschweil,4
rainaldis frerres mr pont de lyon,4
mr de chanteau de paris,4
cath monchon de vevay f 3,4
francois monde de nancy,4
3 handw 3 landl,4
hügenin aelter von müllhausen f 2,4
ein leipziger fuhrmann,4
mr noel corbaffier de savoye f 2,4
hr berchtold aus tyrol,4
critian dubois du languedoc f 5,4
bohne de bienne,4
jgfr gutth jgfr koppin f 4 von baaden,4
syndicus crismar,4
baron krefs von kreffenftein,4
ein zurzacher fuhrmann,4
hr helbling portraitmahler vwien,4
peter greyer aus tyrol,4
hr burlet von reichenburg,4
antoine fallanne di lucarno,3
pierre marnier de geneve,3
meyer von rüti,3
salle de mirecourt,3
4 hilzinger musicanten,3
matheus firter von tittishausen,3
ledergerf vondieffenhoffen,3
joh hiltmeyer aus bayern,3
jacob läubj von sulgen,3
diethelm von lachen f 3,3
mr pitzala  mr caffati de milan f 2,3
fallanne di lucarno,3
esmenjaud de moulins f 2,3
legillons de bruges,3
4 handw 2 landl,3
roux de geneve,3
garnier de barleduc,3
fabry und hr schaz von strafsburg,3
hr döppeler von tägerfelden f 3,3
moser von biel,3
1 kutscher von winterthur,3
fornaro von rapperschweil,3
dominico pizzala de milan,3
bertrand v bischwegler,3
jgfr wetzinger von solothurn,3
tschudj von glarus,3
ein strafsburger fuhrmann,3
3 leipziger fuhrleuth,3
anton stahl von nürnberg,3
hr bethmann hollweg und frau von frankfuhrt,3
1 leipziger fuhrmann,3
hr weinmann aus bayern f 4,3
2 pilger 4 handw,3
nicol zum stein von memmingen f 2,3
mr pizzala de milan,3
mr françois mondè de savoye,3
jacob zohler von oberweil,3
2 landl 1 handw,3
jelin von basel,3
fehr von bern,3
simon cros de savoye,3
robert mr rudolph de barleduc,3
truttmann von schweiz,3
13 schwaben     3 landl,3
bueler von memmingen,3
bayer musicus aus tyrol f 2,3
leonh bruder von raitatt,3
doctor gruber von gails f 2,3
trutrmann von schweiz,3
ognibene mr caffa piccola di pergine,3
12 schwaben 2 handw,3
ein frankfuhrter fuhrmann,3
jacob meyer von gehrweil,3
beyde von winterthur,3
fr rathsherr michlin von glarus,3
baron von haller sämtliche von nürnberg,3
hr elmer von glarus,3
hr mathias sandtner aus tyrol,3
mr bapt widekeller von arbon,3
hr doctor vogel von bamberg f 8,3
wegelin von dieffenhoffen,3
2 landl 4 handw,3
1 frankfurter fuhrmann,3
helbling von rapperschweil,3
zwikj von glarus,3
mr gigot de neufchatel,3
alchimio de neaple,3
wenck von lachen f 2,3
le comte de geneve,3
ein krämer von fusach,3
hr bader v schaffhausen,3
mr morillon de geneve,3
pierre rottignon de verdun,3
jud michel dreyfuſs von endgen f 2,3
5 hilzinger musicanten,3
tanni hr trümpi von glarus f 3,3
hr david gampert von stettfort f 2,3
franz herby aus dem elsass,3
bouscarin de montpellier,3
mad lajard de toulon,3
bachmann von stetfort f 2,3
1 handw 3 landl,3
jos leonti lieberheer von utznach,3
landammann bruj von lachen,3
piere robert de neufchatel,3
rudolf fischer von meisterschwand,3
bidermann de geneve,3
millard de chalon,3
windler von stein,3
joseph preüss von grünstadt f 10 muf,3
hr firz von tägerfelden f 2,3
bonavia mr richelmi de turin,3
burkhardt von richterschweil,3
gebrüdere bell von lucern,3
gebrüdere levi von hohenembs f 4,3
probft von bielf f 2,3
hr joh merz von kaysersheim f 8,3
bertrand de reims,3
mad blasius von rastatt probst von bielf f 2,3
picot dauvergne f 4,3
joh merz von kaysersheim f 6,3
döppeler von tägerfelden f 3,3
fortis de mylan,3
le pouri di arone,3
elifabeth wünfch von weinfelden,3
calandre f 2 di belgirate,3
sr alfari di domodossla f 2,3
hr martin aus böhmen 4 handw,3
brucker von pforzheim,3
le maire de metz f 2,3
hr jacob sigel von eisenberg f 2,3
provent von nekarsulm,3
francois monde de nancy f 3,3
deluze de neuchatel,3
greiner von sonnhardt f 2,3
hr michael kern von bamberg f 3 muf,3
hr merz von kayfersheim f 8,3
muoffer von mülheim,3
mr le ministre gasse mr gachard de geneve,3
hr sayler jkr stockar hr miller v schaffhausen,3
fr fosterin von schaffhausen,3
baldinger von rekingen,3
mr christoff cassi di bergamo f 4 mr gilbert de metz,3
ein burgunder glashändler f 2,3
moser de bienne,3
picot d auvergne f 4,3
hirt von zurzach,3
hr groſſmann von augſpurg,3
hr martin aus böhmen 1 handw,3
mr bapt labhart de savoy,3
madm treislerin von ludwigsburg,3
helena straubin von lachen,3
mr provent von nekarsulm,3
fischer von mannheim,3
hr fürsprech keller von sarnentorff f 3,3
hr joh merz von kaysersheim f 6,3
4 ungarrer 2 handw,3
profeffor steinsky aus prag,3
mr christoff caffi di bergamo f 4,3
bader von schaffhausen,3
landschreiber hegner von winterthur,3
caspar altenegger von wangen,3
mr andré caffatj f 2 de milan,3
hr neuschwald von biel 3 handw,3
zur mühlen hr heinrich hr blanckenhagen,3
hr martin erhardt von mühlhaufen,3
hartmann von lenzburg,3
bellattj von leipzig,3
jud levj von randegg f 2,3
1 landmann,3
hr groffmann von augfpurg,3
brix aus böhmen f 3,3
mr michelletti di bilincona dentift,3
bottino von langensee f 2,3
st galler fuhrleuth,3
carlis de modena hr addè von mannheim,3
greith von rapperschweil,3
jof mathise auguft ord du dauphiné,2
hr bachmann von stettfort f 2 2 landl 1 handw,2
moevikofer v frauenfeld f 3,2
rieber von ebingen,2
engler von sulgen,2
de stoutoni de grison f 3,2
rudolph von zurzach,2
hr joh merz von kayſersheim ſ 9,2
xaverj andreiſlj von steiflingen ſ 5 muſ,2
hr michael kern von bamberg f 3 muse,2
dominico linggi von schweiz,2
hechner von reyh,2
raeft von ertfein,2
dürrmüller von st gallen,2
edelmann von cappel,2
2 herren gaenfle von willhausen,2
mr chriſtoff caſſi di bergamo ſ 4,2
fasane de luggarus,2
1 handw 4 landl,2
michael ekarbt aus tyrol f 5,2
7 klingnauer fuhrmannen,2
gronau candidat von berlin,2
brentano von rapperschweil,2
le comte de pac aus pohlen,2
richard cathol geistl de nancy f 4,2
ein kutscher von haubtweil,2
imsonn aus tyrol,2
bille de montgni capitaine en france,2
wunibald endrers von conftanz,2
wilhelm etter von scherzingen f 2,2
hefftj hr laager von glarus f 6,2
elisabetha weishöpfy von herisau,2
ulrich hauffmann von stekborren,2
schiffmann diechelm von lachen f 2,2
ulrich frommherz von gehrweil f 2,2
hegner hr rathsherr sulzer hr stadtchrb,2
bella von strassburg,2
hr daniel danielis v feldkirch f 2,2
magdal keller von baaden,2
mr bastard de straßburg,2
hr pater wandermer von rheinau f 3,2
hr grossmann von augspurg,2
jacob hunziker von lenzburg,2
ruthishauser von bottikoffen,2
muoser von augen,2
2 schmelker schiffleuth,2
hr meyer von bern,2
oberpfleger witzigman beyde v constanz,2
hr chaam f 8 von glarus,2
4 ungarrer,2
schwarzenberger von lucern f 2,2
hennig de neufchatel,2
lozbek von straiburg,2
michel grüniger von lachen f 4,2
bühler von glarus f 2,2
spengeler von arau,2
fuchs von lucern f 2,2
le marquis cingalinj de mylan,2
haufeler hr stähelin von basel f 2,2
xaverj schweitzer von wurmlingen f 2,2
jmhoff v bremgarten hr unterkircher v tyrol,2
baron tschudj von zurzach,2
jacob ammann von herisau,2
hr joseph schmid v hizkirch,2
fehr von frauenfeld,2
maria bringmann von weiblingen,2
stoll von pfeffenhoffen,2
georg berringer von hagstetren,2
hr marc schweikofier von augfpurg mufi,2
fried herbst von gechingen,2
amtm helbling hr stadtschrbr breger v rappersch,2
huber von diessenhoffen,2
hr elmer hr luchfinger f 3 von glarus,2
pfr eglinger und frau usohn,2
hr bernhardt weber von schaffhausen f 2,2
ein st galler fuhrmann,2
mr delosea de morat,2
brix aus böhmen f 2 5 muficanten,2
1 schwab    4 handw    4 landl,2
joh traber von frauenfeld f 3,2
hr lucas beutel von altftetten,2
2 französischer recroüt,2
elisab kreiner von speicher,2
andreas uel von oettingen,2
rietter von winterthur,2
madm trefslerin von ludwigsburg,2
theresia schweitzer von wurmlingen f 2,2
mr borell de geneve hr iselin von basel,2
spiegel von rapperschweil,2
hr layer von colmar f 2,2
procurator locherer von frauenfeld,2
mr michelletti di bilincona dentist,2
hr zopfi f 6 von glarus,2
kübli von glarus,2
1 landl 1 handw,2
de larozierre damiens,2
claube toutlieu de st etienne,2
2 schwaben 2 handw,2
legler von glarus,2
georg grill von ehingen,2
4 landl 1 handw,2
fassanno de siena,2
landvogt henry aus bündten,2
hr tschan von lucern,2
hr joh friedrich tschiffeli von ebingen,2
ulrich fehr von duttweil f 2,2
schär von münlisweil,2
hr martin glashändler aus böhmen,2
wenck hr zurcher von basel,2
voltz von frankfuhrt,2
amts schultheifs hegner hr rathsherr,2
curchot de geneve,2
mival de genes,2
hauptm bar v rothenthal in kayf dienften,2
amb anfelmalz von dillingen,2
michelletti di bilincona dentist,2
wolf von mülhausen,2
jof stirnimann von rheiden f 2    4 landl,2
dominico pitzala de mylan f 3,2
lötzleck von lahr,2
mr andré caffati f 4 de milan,2
wydemann aus tyrol,2
marianne mofiner v schafhausen 6 landl,2
xaveri schweitzer von wurmlingen f 2,2
joh heuffler von rapperfchweil,2
mouguet de besançon,2
jacob peter von frauenfeld,2
hr real hr rädelmayer von regenburg f 2,2
krauss virtuos von ulm,2
theiler von lachen,2
rofina steinerin von balingen,2
ammann keffelring von märftetten,2
g gaud de neufchatel,2
hr däppeler von tägerfelden f 3,2
mathias steiger von flaweil,2
faßanne di lucarno,2
hr joh jürg von munterkingen f 4,2
gebrüdere bel von lucern,2
landammann gachet von frauenfeld,2
hr brünelli hr wenk von lachen,2
hr mettich von straßburg,2
ikr obervogt balthasar von griesenberg,2
schultheifs hefsling    hr stadtfchreiber brettr,2
hr jof eichinger aus der pfalz,2
hr eggertscheiler von wangen,2
rathsherr mäschly von murj,2
jofeph egglj von mümlischweil,2
hr franz schmid aus entlibuch,2
cathar roingerin von solothurn,2
ambühl von wattweil,2
joh von guthen von thun,2
roux mr gutta de geneve,2
georg geng von betterkingen,2
ursula büchlj v bözberg,2
