Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename
1,28 Julii 1780,1780-07-28,SCHWERDT,1,Hr. Blumer von Glarus.,1,4648731.txt
2,28 Julii 1780,1780-07-28,SCHWERDT,1,Profeffor Steinsky aus Prag.,2,4648731.txt
3,28 Julii 1780,1780-07-28,SCHWERDT,1,Meifsner von Görlitz in Sachfen f. 3.,3,4648731.txt
4,28 Julii 1780,1780-07-28,SCHWERDT,1,Mr. Carlis de Modena.,4,4648731.txt
5,28 Julii 1780,1780-07-28,SCHWERDT,1,le Grand de Belfort.,5,4648731.txt
6,28 Julii 1780,1780-07-28,SCHWERDT,1,Rebattu de Verfailles.,6,4648731.txt
7,28 Julii 1780,1780-07-28,SCHWERDT,1,"de Vermenoux, de Paris f. 3.",7,4648731.txt
8,28 Julii 1780,1780-07-28,SCHWERDT,1,Cislago di Verona.,8,4648731.txt
9,28 Julii 1780,1780-07-28,SCHWERDT,1,"Arnaud, Mr.-Dury de Turin.",9,4648731.txt
10,28 Julii 1780,1780-07-28,SCHWERDT,1,"Berteaud, Mr. Simon de Chalon fur Sonne.",10,4648731.txt
11,28 Julii 1780,1780-07-28,SCHWERDT,1,Anfelme de Lyon.,11,4648731.txt
12,28 Julii 1780,1780-07-28,STORCHEN,2,"Mr. Predarii de Milan, f. 2.",12,4648731.txt
13,28 Julii 1780,1780-07-28,STORCHEN,2,Hr. Kühnhold von Nürnberg.,13,4648731.txt
14,28 Julii 1780,1780-07-28,STORCHEN,2,Ein Glashändler aus dem Schwarzwald.,14,4648731.txt
15,28 Julii 1780,1780-07-28,STORCHEN,2,1 Handw.,15,4648731.txt
16,28 Julii 1780,1780-07-28,ADLER,3,Jgfr. Schweizerin von St. Gallen.,16,4648731.txt
17,28 Julii 1780,1780-07-28,ADLER,3,Bernold Marich D'auvergne f. 2.,17,4648731.txt
18,28 Julii 1780,1780-07-28,ADLER,3,Fr. Fofterin von Schaff haufen.,18,4648731.txt
19,28 Julii 1780,1780-07-28,ROTHAUS,4,Hr. Brix aus Böhmen.,19,4648731.txt
20,28 Julii 1780,1780-07-28,ROTHAUS,4,"Mr. Pitzala de Milan, f. 2.",20,4648731.txt
21,28 Julii 1780,1780-07-28,ROTHAUS,4,Mad. Marianne Blafius de Raftatt f. 2.,21,4648731.txt
22,28 Julii 1780,1780-07-28,ROTHAUS,4,"2 Landlenth,",22,4648731.txt
23,28 Julii 1780,1780-07-28,HIRSCHEN,5,Hr. Martin Erhardt von Mühlhaufen.,23,4648731.txt
24,28 Julii 1780,1780-07-28,HIRSCHEN,5,Leonhard Fornaro von Langenfee.,24,4648731.txt
25,28 Julii 1780,1780-07-28,HIRSCHEN,5,Ein Bedienter von Hrn. Baron v. Ufkiel von Stuttgardt.,25,4648731.txt
26,28 Julii 1780,1780-07-28,RAABEN,6,Jgfr. Ellfabetha Rieggi von Efchenbach f. 2.,26,4648731.txt
27,28 Julii 1780,1780-07-28,RAABEN,6,Anna Maria Kleinin von Wefen f. 2.,27,4648731.txt
28,28 Julii 1780,1780-07-28,RAABEN,6,Sufanna Strikler von Glarus f. 2.,28,4648731.txt
29,28 Julii 1780,1780-07-28,RAABEN,6,Marianne Meimoud von Landau.,29,4648731.txt
30,28 Julii 1780,1780-07-28,RAABEN,6,Hr. Carl Horret von Toggen-,30,4648731.txt
31,28 Julii 1780,1780-07-28,RAABEN,6,Arnold Holftein von Neuburg-,31,4648731.txt
