Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,date_folder,start,end,spot,confidence,annotationid,title,uri,label,categories,types,alternateLabels,place,person,spot_match
1.0,28 Julii 1780,1780-07-28,SCHWERDT,1.0,Hr. Blumer von Glarus.,1.0,4648731.txt,1780-07,44.0,50.0,Blumer,0.7087,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
39.0,30 Julii 1780,1780-07-30,SCHWERDT,1.0,Hr. Blumer von Glarus.,39.0,4648733.txt,1780-07,100.0,106.0,Blumer,0.7087,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
69.0,31 Julii 1780,1780-07-31,SCHWERDT,1.0,Hr. Blumer von Glarus.,69.0,4648735.txt,1780-07,98.0,104.0,Blumer,0.7087,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
105.0,1 Augusti 1780,1780-08-01,SCHWERDT,1.0,Hr. Blumer von Glarus.,105.0,4648737.txt,1780-08,100.0,106.0,Blumer,0.711,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
137.0,2 Augusti 1780,1780-08-02,SCHWERDT,1.0,Hr. Blumer von Glarus.,137.0,4648739.txt,1780-08,101.0,107.0,Blumer,0.711,11918801.0,Johann Jakob Blumer,http://de.wikipedia.org/wiki/Johann_Jakob_Blumer,Johann Jakob Blumer,"['Autor', 'Geboren 1819', 'Gerichtspräsident (Schweiz)', 'Gestorben 1875', 'Mann', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Jakob Blumer'],0.0,1.0,1.0
169.0,3 Augufti 1780,1780-01-03,SCHWERDT,1.0,Hr. Blumer von Glarus.,169.0,4648741.txt,1780-08,147.0,153.0,Blumer,0.7225,110815.0,Friedrich Imhoof-Blumer,http://de.wikipedia.org/wiki/Friedrich_Imhoof-Blumer,Friedrich Imhoof-Blumer,"['Geboren 1838', 'Gestorben 1920', 'Mann', 'Mitglied der Akademie der Wissenschaften zu Göttingen', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Mitglied der Königlich Niederländischen Akademie der Wissenschaften', 'Mitglied der Preußischen Akademie der Wissenschaften', 'Mitglied der Society for the Promotion of Hellenic Studies', 'Mitglied der Österreichischen Akademie der Wissenschaften', 'Münzsammler', 'Numismatiker', 'Person (Winterthur)', 'Schweizer', 'Träger der Medaille der Royal Numismatic Society', 'Träger des Pour le Mérite (Friedensklasse)']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Friedrich Imhoof-Blumer', 'Imhoof-Blumer, Friedrich']",0.0,1.0,1.0
206.0,4 Augusti 1780,1780-08-04,SCHWERDT,1.0,Hr. Blumer von Glarus.,206.0,4648743.txt,1780-08,216.0,222.0,Blumer,0.719,110815.0,Friedrich Imhoof-Blumer,http://de.wikipedia.org/wiki/Friedrich_Imhoof-Blumer,Friedrich Imhoof-Blumer,"['Geboren 1838', 'Gestorben 1920', 'Mann', 'Mitglied der Akademie der Wissenschaften zu Göttingen', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Mitglied der Königlich Niederländischen Akademie der Wissenschaften', 'Mitglied der Preußischen Akademie der Wissenschaften', 'Mitglied der Society for the Promotion of Hellenic Studies', 'Mitglied der Österreichischen Akademie der Wissenschaften', 'Münzsammler', 'Numismatiker', 'Person (Winterthur)', 'Schweizer', 'Träger der Medaille der Royal Numismatic Society', 'Träger des Pour le Mérite (Friedensklasse)']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Friedrich Imhoof-Blumer', 'Imhoof-Blumer, Friedrich']",0.0,1.0,1.0
239.0,6 Augusti 1780,1780-08-06,SCHWERDT,1.0,Hr. Blumer von Glarus.,239.0,4648745.txt,1780-08,79.0,85.0,Blumer,0.719,110815.0,Friedrich Imhoof-Blumer,http://de.wikipedia.org/wiki/Friedrich_Imhoof-Blumer,Friedrich Imhoof-Blumer,"['Geboren 1838', 'Gestorben 1920', 'Mann', 'Mitglied der Akademie der Wissenschaften zu Göttingen', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Mitglied der Königlich Niederländischen Akademie der Wissenschaften', 'Mitglied der Preußischen Akademie der Wissenschaften', 'Mitglied der Society for the Promotion of Hellenic Studies', 'Mitglied der Österreichischen Akademie der Wissenschaften', 'Münzsammler', 'Numismatiker', 'Person (Winterthur)', 'Schweizer', 'Träger der Medaille der Royal Numismatic Society', 'Träger des Pour le Mérite (Friedensklasse)']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Friedrich Imhoof-Blumer', 'Imhoof-Blumer, Friedrich']",0.0,1.0,1.0
274.0,7 Augufti 1780,1780-01-07,SCHWERDT,1.0,Hettlinger von Winterthur.,274.0,4648747.txt,1780-08,140.0,150.0,Hettlinger,0.6805,3310684.0,Johannes Hettlinger,http://de.wikipedia.org/wiki/Johannes_Hettlinger,Johannes Hettlinger,"['Geboren im 15. Jahrhundert', 'Geschichte (Rapperswil-Jona)', 'Gestorben 1489', 'Mann', 'Person (Rapperswil-Jona)', 'Politiker (Schweiz vor 1848)', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johannes Hettlinger'],0.0,1.0,1.0
305.0,8 Augusti 1780,1780-08-08,SCHWERDT,1.0,Hr. Blumer von Glarus.,305.0,4648749.txt,1780-08,58.0,64.0,Blumer,0.7207,110815.0,Friedrich Imhoof-Blumer,http://de.wikipedia.org/wiki/Friedrich_Imhoof-Blumer,Friedrich Imhoof-Blumer,"['Geboren 1838', 'Gestorben 1920', 'Mann', 'Mitglied der Akademie der Wissenschaften zu Göttingen', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Mitglied der Königlich Niederländischen Akademie der Wissenschaften', 'Mitglied der Preußischen Akademie der Wissenschaften', 'Mitglied der Society for the Promotion of Hellenic Studies', 'Mitglied der Österreichischen Akademie der Wissenschaften', 'Münzsammler', 'Numismatiker', 'Person (Winterthur)', 'Schweizer', 'Träger der Medaille der Royal Numismatic Society', 'Träger des Pour le Mérite (Friedensklasse)']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Friedrich Imhoof-Blumer', 'Imhoof-Blumer, Friedrich']",0.0,1.0,1.0
