Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Raw Line,Visitor,Links,Filename
1,28 Julii 1780,1780-07-28,SCHWERDT,1,Hr. Blumer von Glarus.,Hr. Blumer von Glarus,Blumer (https://de.wikipedia.org/wiki/Blumer https://de.wikipedia.org/wiki/Blumerode https://de.wikipedia.org/wiki/Blumer_(Familie) https://de.wikipedia.org/wiki/Blumergraben https://de.wikipedia.org/wiki/Blumeray https://de.wikipedia.org/wiki/Blumer_Beck https://de.wikipedia.org/wiki/Blumerberg https://de.wikipedia.org/wiki/Blumer-Marcus https://de.wikipedia.org/wiki/Blumers https://de.wikipedia.org/wiki/Blumert),../../ideas/ocr_mit_claude/0002.txt
2,28 Julii 1780,1780-07-28,SCHWERDT,1,Profeffor Steinsky aus Prag.,Profeffor Steinsky aus Prag,,../../ideas/ocr_mit_claude/0002.txt
3,28 Julii 1780,1780-07-28,SCHWERDT,1,Meissner von Görlitz in Sachsen f. 3.,Meissner von Görlitz in Sachsen,Meissner (https://de.wikipedia.org/wiki/Meissner https://de.wikipedia.org/wiki/Meissener_Porzellan https://de.wikipedia.org/wiki/Mei%C3%9Fner_Dom https://de.wikipedia.org/wiki/Mei%C3%9Fner_und_Mei%C3%9Fner_Vorland https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Gemeinde) https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Familienname) https://de.wikipedia.org/wiki/Mei%C3%9Fner_Fummel https://de.wikipedia.org/wiki/Mei%C3%9Fner_Schwein https://de.wikipedia.org/wiki/Mei%C3%9Fner-Ochsenfeld-Effekt https://de.wikipedia.org/wiki/Mei%C3%9Fner_(Adelsgeschlechter)),../../ideas/ocr_mit_claude/0002.txt
4,28 Julii 1780,1780-07-28,SCHWERDT,1,Mr. Carlis de Modena.,Mr. Carlis de Modena,Carlis (https://de.wikipedia.org/wiki/Carlismus https://de.wikipedia.org/wiki/Carlisle https://de.wikipedia.org/wiki/Carlisle_Grounds https://de.wikipedia.org/wiki/Carlisle_(Pennsylvania) https://de.wikipedia.org/wiki/Carlisle_County https://de.wikipedia.org/wiki/Carlisle_(Iowa) https://de.wikipedia.org/wiki/Carlisle_(Ohio) https://de.wikipedia.org/wiki/Carlisle_(Massachusetts) https://de.wikipedia.org/wiki/Carlisle_Castle https://de.wikipedia.org/wiki/Carlisle_Floyd),../../ideas/ocr_mit_claude/0002.txt
5,28 Julii 1780,1780-07-28,SCHWERDT,1,le Grand de Belfort.,le Grand de Belfort,le Grand (https://de.wikipedia.org/wiki/Le_Grand https://de.wikipedia.org/wiki/Le_Grand-Bornand https://de.wikipedia.org/wiki/Le_Grand-Saconnex https://de.wikipedia.org/wiki/Le_Grand_Macabre https://de.wikipedia.org/wiki/Le_Grand_Chalon https://de.wikipedia.org/wiki/Le_Grand_(Iowa) https://de.wikipedia.org/wiki/Le_Grand_Rex https://de.wikipedia.org/wiki/Le_Grand_P%C3%A9rigueux https://de.wikipedia.org/wiki/Le_Grand_Chariot https://de.wikipedia.org/wiki/Le_Grand-Quevilly),../../ideas/ocr_mit_claude/0002.txt
6,28 Julii 1780,1780-07-28,SCHWERDT,1,Rebattu de Versailles.,Rebattu de Versailles,,../../ideas/ocr_mit_claude/0002.txt
7,28 Julii 1780,1780-07-28,SCHWERDT,1,"de Vermenoux, de Paris f. 3.","de Vermenoux, de Paris",,../../ideas/ocr_mit_claude/0002.txt
8,28 Julii 1780,1780-07-28,SCHWERDT,1,Cislago di Verona.,Cislago di Verona,,../../ideas/ocr_mit_claude/0002.txt
9,28 Julii 1780,1780-07-28,SCHWERDT,1,"Arnaud, Mr. Dury de Turin.","Arnaud, Mr. Dury de Turin",,../../ideas/ocr_mit_claude/0002.txt
10,28 Julii 1780,1780-07-28,SCHWERDT,1,"Berteaud, Mr. Simon de Chalon sur Sonne.","Berteaud, Mr. Simon de Chalon sur Sonne",,../../ideas/ocr_mit_claude/0002.txt
