Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename
1,28 Julii 1780,1780-07-28,SCHWERDT,1,Hr. Blumer von Glarus.,1,0002.txt
2,28 Julii 1780,1780-07-28,SCHWERDT,1,Profeffor Steinsky aus Prag.,2,0002.txt
3,28 Julii 1780,1780-07-28,SCHWERDT,1,Meissner von Görlitz in Sachsen f. 3.,3,0002.txt
4,28 Julii 1780,1780-07-28,SCHWERDT,1,Mr. Carlis de Modena.,4,0002.txt
5,28 Julii 1780,1780-07-28,SCHWERDT,1,le Grand de Belfort.,5,0002.txt
6,28 Julii 1780,1780-07-28,SCHWERDT,1,Rebattu de Versailles.,6,0002.txt
7,28 Julii 1780,1780-07-28,SCHWERDT,1,"de Vermenoux, de Paris f. 3.",7,0002.txt
8,28 Julii 1780,1780-07-28,SCHWERDT,1,Cislago di Verona.,8,0002.txt
9,28 Julii 1780,1780-07-28,SCHWERDT,1,"Arnaud, Mr. Dury de Turin.",9,0002.txt
10,28 Julii 1780,1780-07-28,SCHWERDT,1,"Berteaud, Mr. Simon de Chalon sur Sonne.",10,0002.txt
11,28 Julii 1780,1780-07-28,SCHWERDT,1,Anselme de Lyon.,11,0002.txt
12,28 Julii 1780,1780-07-28,STORCHEN,2,"Mr. Predarii de Milan, f. 2.",12,0002.txt
13,28 Julii 1780,1780-07-28,STORCHEN,2,Hr. Kühnhold von Nürnberg.,13,0002.txt
14,28 Julii 1780,1780-07-28,STORCHEN,2,Ein Glashändler aus dem Schwarzwald.,14,0002.txt
15,28 Julii 1780,1780-07-28,STORCHEN,2,1 Handw.,15,0002.txt
16,28 Julii 1780,1780-07-28,ADLER,3,Jgfr. Schweizerin von St. Gallen.,16,0002.txt
17,28 Julii 1780,1780-07-28,ADLER,3,Bernold Marsch D'auvergne f. 2.,17,0002.txt
18,28 Julii 1780,1780-07-28,ADLER,3,Fr. Posterin von Schaffhausen.,18,0002.txt
19,28 Julii 1780,1780-07-28,ROTHHAUS,4,Hr. Brix aus Böhmen.,19,0002.txt
20,28 Julii 1780,1780-07-28,ROTHHAUS,4,"Mr. Pizzala de Milan, f. 2.",20,0002.txt
21,28 Julii 1780,1780-07-28,ROTHHAUS,4,Mad. Marianne Blasius de Rastadt f. 2.,21,0002.txt
22,28 Julii 1780,1780-07-28,ROTHHAUS,4,2 Lándleuth.,22,0002.txt
23,28 Julii 1780,1780-07-28,HIRSCHEN,5,Hr. Martin Erhardt von Mühlhausen.,23,0002.txt
24,28 Julii 1780,1780-07-28,HIRSCHEN,5,Leonhard Fornaro von Langensee.,24,0002.txt
25,28 Julii 1780,1780-07-28,HIRSCHEN,5,Ein Bedienter von Hrn. Baron v. Uskiel von Stuttgardt.,25,0002.txt
26,28 Julii 1780,1780-07-28,RAABEN,6,Jgfr. Elisabetha Rieggi von Eichenbach f. 2.,26,0002.txt
27,28 Julii 1780,1780-07-28,RAABEN,6,Anna Maria Kleinlin von Welen f. 2.,27,0002.txt
28,28 Julii 1780,1780-07-28,RAABEN,6,Salama Strikler von Glarus f. 2.,28,0002.txt
29,28 Julii 1780,1780-07-28,RAABEN,6,Marianne Meimnoud von Landau.,29,0002.txt
30,28 Julii 1780,1780-07-28,RAABEN,6,Hr. Carl Horret von Toggen-,30,0002.txt
31,28 Julii 1780,1780-07-28,RAABEN,6,Arnold Holsteln von Neuburg-,31,0002.txt
32,28 Julii 1780,1780-07-28,LEUEN,7,1 Handwerker-,32,0002.txt
33,28 Julii 1780,1780-07-28,ROESSLI,8,Hr. Schneeli von Glarus.,33,0002.txt
34,28 Julii 1780,1780-07-28,ROESSLI,8,Franz Kurtz von Landeeg-,34,0002.txt
35,28 Julii 1780,1780-07-28,ROESSLI,8,2 St Galler Fuhrleuth-,35,0002.txt
36,28 Julii 1780,1780-07-28,SCHWANEN,9,1 Landmann-,36,0002.txt
37,30 Julii 1780,1780-07-30,SCHWERDT,1,Mr. Carlis de Modena.,37,0004.txt
38,30 Julii 1780,1780-07-30,SCHWERDT,1,le Grand de Belfort.,38,0004.txt
39,30 Julii 1780,1780-07-30,SCHWERDT,1,Hr. Blumer von Glarus.,39,0004.txt
40,30 Julii 1780,1780-07-30,SCHWERDT,1,Profesor Steinsky aus Prag.,40,0004.txt
